// 日本全国自治体公式サイトリスト（http://linkdata.org/work/rdf1s2022i）の1741件で実行
$ xargs -a sitelist.txt ./fetchall.exe
Get http://www2.city.kamagaya.chiba.jp/index.html: dial tcp: lookup www2.city.kamagaya.chiba.jp: no such host
Get http://www.cs.town.gojome.akita.jp/index.htm: dial tcp: lookup www.cs.town.gojome.akita.jp: no such host
Get http://www2.town.biratori.hokkaido.jp/biratori/: dial tcp: lookup www2.town.biratori.hokkaido.jp: no such host
Get http://www.town.erimo.hokkaido.jp/: dial tcp: lookup www.town.erimo.hokkaido.jp: no such host
Get http://www.city.kashiwazaki.niigata.jp/: dial tcp: lookup www.city.kashiwazaki.niigata.jp: no such host
Get http://www2.ocn.ne.jp/~asakawa/: dial tcp: lookup www2.ocn.ne.jp: no such host
Get http://ns.town.chippubetsu.hokkaido.jp/: dial tcp: lookup ns.town.chippubetsu.hokkaido.jp: no such host
Get http://www.sai.e-shimokita.jp/: dial tcp: lookup www.sai.e-shimokita.jp: no such host
Get http://www.teshiotown.com/: dial tcp: lookup www.teshiotown.com: no such host
Get http://www.town.miyashiro.saitama.jp/: dial tcp: lookup www.town.miyashiro.saitama.jp: no such host
Get http://www.town.rikubetsu.hokkaido.jp/: dial tcp: lookup www.town.rikubetsu.hokkaido.jp: no such host
Get http://www.city-kitaibaraki.jp/: dial tcp: lookup www.city-kitaibaraki.jp: no such host
Get http://www.town.ami.ibaraki.jp/: dial tcp: lookup www.town.ami.ibaraki.jp: no such host
0.08s   19519 http://www.town-kyogoku.jp/
0.11s    1318 http://www.town.kyonan.chiba.jp/
0.12s   21546 http://www.town.miyagi-osato.lg.jp/
0.13s   29076 http://www.town.taiwa.miyagi.jp/
0.12s    2793 http://www.city.tagajo.miyagi.jp/
0.12s     731 http://www.chonan-machi.jp/
0.13s   36360 http://www.town.urakawa.hokkaido.jp/
0.13s   55188 http://www.city.shibuya.tokyo.jp/
0.13s    4696 http://www.town.ibaraki-kawachi.lg.jp/
0.14s   30217 http://www.town.kawanishi.yamagata.jp/
0.14s      65 http://www.hinoemata.com/oze/
0.14s    3040 http://www.vill.tsumagoi.gunma.jp/
0.14s   22230 http://www.town.haga.tochigi.jp/index.html
0.17s   27250 http://www.city.togane.chiba.jp/
0.16s     572 http://town.rishiri.jp/
0.18s   18023 http://www.town.nagara.chiba.jp/
0.18s   20569 http://www.city.ishinomaki.lg.jp/
0.17s    1744 http://www.vill.aogashima.tokyo.jp/
0.20s   23175 http://www.town.furubira.lg.jp/
0.20s   11148 http://www.town.anamizu.ishikawa.jp/
0.21s     986 http://www.town.sannohe.aomori.jp/
0.20s   24977 http://www.town.yorii.saitama.jp/
0.20s   21600 http://www.town.kanra.gunma.jp/
0.24s   46505 http://www.city.sakura.lg.jp/
0.24s   24978 http://www.maoi-net.jp/
0.22s   14293 http://www.city.takahagi.ibaraki.jp/
0.30s   18309 http://www.vill.tomari.hokkaido.jp/
0.31s    5768 http://www.town.imakane.lg.jp/
0.29s   11530 http://www.town.inawashiro.fukushima.jp/
0.30s     905 http://www.city.yokohama.jp/
0.30s    3082 http://www.furano.ne.jp/nakafurano/
0.34s   32662 http://www.city.wakkanai.hokkaido.jp/
0.33s   27119 http://www.town.yahaba.iwate.jp/
0.33s    5946 http://www.city.date.fukushima.jp/
0.33s   43315 http://www.city.kitakami.iwate.jp/
0.34s    9044 http://www.city.minamisoma.lg.jp/
0.34s   19320 http://www.niikappu.jp/
0.35s    4013 http://www.town.tsuruta.aomori.jp/
0.35s   22390 http://www.town.otofuke.hokkaido.jp/
0.37s   26899 http://www.city.date.hokkaido.jp/
0.36s     497 http://shinhidaka.hokkai.jp/
0.38s   14779 http://www.town.suttu.lg.jp/
0.40s   16508 http://www.village.ohira.miyagi.jp/
0.38s   19196 http://www.town.kusatsu.gunma.jp/
0.40s   38013 http://www.shichigahama.com/
0.41s   16267 http://www.town.otobe.lg.jp/
0.40s   52263 http://www.city.takizawa.iwate.jp/
0.43s   15726 http://www.city.kuroishi.aomori.jp/
0.46s   56958 http://www.city.tsugaru.aomori.jp/
0.45s     211 http://www.town.shibecha.hokkaido.jp/yakuba/
0.45s   40657 http://www.city.tokyo-nakano.lg.jp/
0.45s     202 http://www.city.ryugasaki.ibaraki.jp/
0.46s    5190 http://www.city.oamishirasato.lg.jp/index.php
0.48s   23659 http://www.vill.rusutsu.lg.jp/
0.47s   39954 http://www.town.marumori.miyagi.jp/
0.48s   34389 http://www.city.chiyoda.lg.jp/
0.51s   38021 http://www.city.chiba.jp/
0.49s   36755 http://www.city.moriya.ibaraki.jp/
0.49s   41218 http://www.city.rikuzentakata.iwate.jp/
0.49s    8934 http://www.city.nikko.lg.jp/
0.51s   16622 http://www.town.sotogahama.lg.jp/
0.52s    7495 http://www.city.shinjo.yamagata.jp/
0.52s   28608 http://www.town.shikabe.lg.jp/
0.52s   10425 http://www.town.itayanagi.aomori.jp/
0.54s   16794 http://www.city.narita.chiba.jp/
0.52s    1937 http://www.hodatsushimizu.jp/
0.52s    9810 http://www.town.yamatsuri.fukushima.jp/
0.52s    8846 http://www.city.sakado.lg.jp/
0.52s   24646 http://www.city.naka.ibaraki.jp/
0.55s   26043 http://www.town.takinoue.hokkaido.jp/
0.53s   41022 http://www.city.moka.tochigi.jp/
0.53s     574 http://www.vill.shimukappu.lg.jp/shimukap/home.html
0.53s    6913 http://www.city.utsunomiya.tochigi.jp/
0.56s   40315 http://www.city.matsudo.chiba.jp/
0.55s   28848 http://www.town.oishida.yamagata.jp/
0.54s   37756 http://www.city.minamiashigara.kanagawa.jp/
0.54s   41492 http://www.city.shinjuku.lg.jp
0.57s   14992 http://www.city.hachinohe.aomori.jp/
0.54s    1015 http://www.miyakemura.com/
0.55s   21303 http://www.town.horonobe.hokkaido.jp/
0.56s   33061 http://www.city.chuo.lg.jp/
0.58s   31111 http://www.city.tsuruoka.lg.jp/
0.56s   39444 http://www.town.mibu.tochigi.jp/
0.56s   32758 http://www.city.shibata.niigata.jp/
0.57s   49516 http://www.town.wassamu.hokkaido.jp/
0.57s    7251 http://www.town.noto.lg.jp/
0.57s   30975 http://www.city.toride.ibaraki.jp/
0.60s   35089 http://www.city.kisarazu.lg.jp/
0.57s   36191 http://www.city.kuki.lg.jp/
0.61s   14459 http://www.city.bibai.hokkaido.jp/
0.59s   24385 http://www.town.tohnosho.chiba.jp/
0.58s   11032 http://www4.city.kanazawa.lg.jp/
0.60s     566 http://www.city.hachimantai.lg.jp/kurashi/
0.58s   25043 http://www.town.okutama.tokyo.jp/
0.58s   39769 http://www.city.iruma.saitama.jp/
0.61s   23363 http://www.town.imabetsu.lg.jp/top.php
0.61s   31546 http://www.town.ozora.hokkaido.jp/
